name,address,cuisine,menu_items,price_range,rating,opening_hours,reviews,food_img
Hamakatsu,"358, Phahonyothin Road, Samsen Nai, Phaya Thai, Bangkok (La Villa Ari, 3rd Floor)",Japanese food,Pork loin tonkatsu,251-500,3.7,11.00-21.00,"Reviewer 1:
Japanese restaurant in the heart of Thonglor, delicious and good quality. Price per person: 251 - 500 baht. Signature menu: SaraUdon. Hamakatsu Thonglor is located in The Taste Thonglor project at the entrance of Thonglor Soi 11 on the 1st floor. Parking is available at the back of the project, with valet service provided to take good care of your car. Hamakatsu is famous for its Tonkatsu menu, but other Japanese dishes are also delicious. The ingredients are fresh, the staff provides good service, and the shop is clean.

Reviewer 2:
Good price Tonkatsu restaurant with a great value lunch set. Price per person: 251 - 500 baht. Signature menu: Pork loin Tonkatsu. This shop is located in The Taste Thonglor project. Parking is available in the building behind the project, and you can stamp your parking ticket at the shop. It is recommended to come during lunch because the lunch set is good value for money. While the promotional set menu may not have a lot of variety, the Tonkatsu included in the set is fried well, crispy, and not oily. It is served with white sesame mixed with Tonkatsu sauce for a satisfying meal.

Reviewer 3:
Katsu Katsu Curry Rice. Price per person: 251 - 500 baht. The shop is located on the roadside in The Taste Thonglor project on the 1st floor, with parking available for stamping. The shop has two floors. The recommended menu here is various Kutsu dishes. During the day, a lunch set is available at a reasonable price with quality matching the cost. The fried food is well-prepared, crispy on the outside and soft inside. The fried chicken curry rice set is served with vegetables but no soup, featuring two pieces of fried chicken, liquid curry that is not very rich, and a sweet salad dressing. The tenderloin set is crispy on the outside and soft on the inside, served with two types of sauce, including the original.",https://cdn.eatigo.com/eatigo_Hamakatsu_20161209104107_8711.jpg
IKEA Swedish Restaurant & Cafe ,"Parallel road, Bangna-Trad Road, Samut Prakan (Mega Bangna Center is located at Bangna intersection with the Outer Ring Road) ",International Food,"Meatballs, Smoked Salmon Salad, Asain Chicken Rice",101-250,3.7,10.00-18.00,"Reviewer 1:
Ikea Swedish Restaurant. Ikea Restaurant sells steak, spaghetti, and refreshing drinks. The Swedish-style food has good taste, and the drinks are inexpensive with a well-rounded and refreshing flavor, perfect for cooling down. Location: Ikea Restaurant, Floor G.

Reviewer 2:
The restaurant is upstairs. When you arrive, queue up, pick up your food, and pay. If you are a member, you get a free Lipton tea bag to refill your own hot water. Recommended dishes: Smoked salmon and meatballs, a must-try if you visit. The restaurant also serves plain-based food, which is quite unusual. However, we prefer our local vegetarian food. After eating, please clear your plates and trays.

Reviewer 3:
Ikea Cafe at Mega Bangna, Samut Prakan. Add some sweetness to your afternoon at Ikea Cafe with menu items like Iced Latte and Gooey Cake. IKEA Family members receive a discount on iced latte coffee, priced at only 19 baht per cup. The coffee here doesn’t allow you to choose the sweetness level because it isn’t sweet at all, but there are bottles of syrup and sugar available for customers to adjust to their liking. Gooey Cake (39 baht) is also offered at a special price for members. It’s a chocolate cake that pairs well with the coffee.",https://img.wongnai.com/p/400x0/2021/02/07/e1de4b0f8bc04df194112196a11a871b.jpg
Im Mi by Khrua Khun Mae,"255/20, Srinagarindra Rd, Suan Luang, Suan Luang, Bangkok (Krua Khun Mae Restaurant, the first restaurant next to the shopping mall on the Kasikorn Bank side), Bangkok","Thai food , noodles , drinks/juice","Fried chicken noodles, Bacon and scrambled egg rice, Chicken larb, Oyster omelette, Grandpa's 100-year-old crab fried rice recipe, Grilled shrimp promotion, River shrimp, Seafood fried rice, Shrimp in fish sauce",251-500,3.7,8.30-20.30,"Reviewer 1:
Good quality Thai food restaurant with good taste and a fairly high price. Price per person: 101 - 250 baht. Signature menu: 100-year-old Grandpa's recipe crab fried rice, grilled shrimp promotion 199. This Thai food restaurant offers delicious dishes with a higher price tag. Crab fried rice made by Grandpa 100 years ago may not have the smoky wok aroma, but I personally enjoy its mild taste and light fragrance. The rice isn’t too dry, and at 450 baht, it seems expensive but serves two people with a generous amount of crab. Water mimosa with seafood is decent, though I wish it were fried drier and more fragrant; overall, it’s acceptable. Grilled shrimp promotion 168 features fresh and bouncy shrimp, though they are slightly oily.

Reviewer 2:
Thai restaurant with a variety of menus. Price per person: 101 - 250 baht. Signature menu: Railway fried rice with fried egg. This made-to-order restaurant specializes in various Thai dishes with good taste. The menu offers many options, including the recommended grilled river prawns available in different sizes. Today, I ordered fried rice with a fried egg, and it was delicious. The restaurant is comfortable to sit in and is located in Max Valu Phatthanakan, with easy parking.

Reviewer 3:
Excellent mackerel chili paste menu. This shop is located at Max Valu Phatthanakan, so I ordered delivery via LINE MAN. I tried the mackerel chili paste menu, which was very delicious and truly impressive. The rice, mixed with a little chili paste, pairs perfectly with the omelet, spicy chili paste, mackerel, and a side of boiled vegetables. It’s an amazing meal that I highly recommend. If you live nearby, you must stop by and try it. It’s awesome!",https://www.bkkmenu.com/files/2016/12/Krua-Khun-Mae-20.jpg
Jay Fai Pratu Phee (เจ๊ไฝ ประตูผี),"327 Maha Chai Road, Samran Rat, Phra Nakhon, Bangkok, 10200, Thailand","Thai, Street Food, Seafood","crab omelette, Grilled River-Prawns with Garlic and Black Pepper, Pad See Ew",500-1000,4,9.00-19.30,"Reviewer 1:
Jay Fai Pratu Phi. Jay Fai Pratu Phi restaurant is known for its crab omelet, which is packed full of crab meat, allowing you to eat to your heart’s content. Alongside the crab omelet, there are many other delicious seafood menus. This time, I tried the fried shrimp with garlic. The shrimp are big, with firm meat, and are fried with garlic, making them very tasty. The stir-fried seafood with soy sauce is also impressive, filled with soft, chewy noodles and lots of seafood. The taste is well-rounded, delicious, and truly awesome.

Reviewer 2:
This shop is impossible not to know. It has been featured in the media countless times as a famous street food spot in Thailand. The most famous dish is the crab omelet, which is packed with crab meat and sells for about 800 baht per plate. 🦀 Jay Fai’s shop does not have air conditioning, but her cooking skills are nothing short of excellent. Personally, I find the food delicious. However, it’s not a place where you can just walk in and eat; reservations need to be made at least a month in advance.

Reviewer 3:
A Michelin ⭐️ restaurant and the only street food restaurant in Thailand with such recognition. Now that the country has opened up, there are many tourists, so you’ll have to wait in a long line. I got a queue number at around 9 am and was able to eat at 11 am. Jay Fai personally cooks every dish herself. The smell of the charcoal stove is wonderfully fragrant, and the must-order dish for every table is the crab omelet, which is an absolute highlight of the menu.",https://img.wongnai.com/p/1920x0/2022/03/05/11406d6ff26149fa874f0b46a281dc0f.jpg
KATEI SHABU ,"299 Soi Charoen Nakhon 5, Khlong Ton Sai Subdistrict, Khlong San District, Bangkok 10600, Thailand ","Buffet, Shabu, Sukiyaki, Hot Pot, Japanese","Shabu-Shabu (Clear Broth), Sukiyaki (Sweet, Dark Broth), Kurobuta Pork, Wagyu Beef, American Wagyu Beef, Beef Shabu, Salmon Sashimi, Sweet Shrimp Sashimi, Steamed Egg, Pork Belly, Pork Neck, Fish",500-1000,4,11.00-22.00,"Reviewer 1:
Price per person: 501 - 1,000 baht. Favourites: Sukiyaki, Shabu, Sashimi. The most delicious shabu buffet I've ever eaten at, definitely worth the price. The buffet includes sukiyaki, shabu, and a variety of sashimi. The service is excellent, with staff serving food directly at your table. I would love it if they opened a branch near my house.

Reviewer 2:
Price per person: 501 - 1,000 baht. Favourites: Hotpot, Raw Fish. This restaurant is similar to Momo Hotpot but includes raw fish on the menu. There are many price options ranging from 699++ to over 2,000++. Vegetables are refilled by staff, and raw fish quality is average. Food is ordered through a QR code. The seating rules are quite strict, with no more than four people allowed at a table.

Reviewer 3:
Price per person: 501 - 1,000 baht. Favourites: Shabu Soup. The new branch at ICS Mall offers a pleasant dining experience. I ordered the 699++ set, which included a flavorful shabu soup. Food is ordered via QR code, and staff serve everything at your table, so there’s no need to get up for vegetables or water.

Reviewer 4:
Price per person: Above 1,000 baht. Favourites: Beef Shabu, Steamed Egg. I tried the most expensive set, and the beef was tender and delicious, though a bit fatty. The raw fish quality wasn’t great; it felt watery, and the sweet shrimp was just average. However, the large bowl of steamed egg was tasty, though it took a long time to arrive.",https://www.ryoiireview.com/upload/article/202405/1715169933_ff8791ddf742b24891f9f443d1d6d07f.jpg
Khao Jao,"341/1, Soi Thonglor 17, Khlong Tan Nuea, Watthana, Bangkok (Located at: The shop is on the left, 30 meters past theCOMMONS)","Southern food, Northeastern food/Somtam shop","Yellow curry with lotus stems and shrimp, Stir-fried pork with chili paste, Stir-fried morning glory with egg, Stir-fried morning glory with chili paste, Fried chicken wings, Fried shrimp with fish sauce, Stir-fried stink beans with fresh shrimp, Fried mushrooms with sesame, stir-fried pork with shrimp paste, Yellow curry with lotus stem and fish",101-250,4.1,10.00-20.00,"Reviewer 1:
Thai food, air-conditioned, next to The Common. Price per person: 101 - 250 baht. This Thai restaurant offers mid-range pricing, slightly more expensive than roadside options but much cheaper than The Common. It has comfortable, air-conditioned seating and is located about 50 meters past The Common in an alley. The menu includes à la carte options and regional rice dishes from the North, Northeast, Central, and South. Ratings: Price: 5/5, Quality: 4/5, Deliciousness: 3/5, Cleanliness: 4/5, Speed: 4/5, Service: 3/5, Location: 4/5, Value for money: 4/5. A good value spot for Thai food.

Reviewer 2:
Delicious southern food at friendly prices. Price per person: 251 - 500 baht. Signature dishes: Stir-fried Chinese kale with salted fish, Fried rice with green curry and gourami, Yellow curry with lotus stem and fish, Fried shrimp with fish sauce, Fried mushrooms. Khao Jao restaurant in Thonglor Soi 17 offers cheap southern food compared to its location, with many tasty dishes. A 100-baht note can leave you full. The menu is divided into two types: one with pictures and prices, and another with only dish names. The atmosphere is shady, both inside and outside. The staff is quick, and food doesn't take long to arrive. The kale with salted fish tastes good, though it might be spicy for some.

Reviewer 3:
Southern food, Thonglor. Price per person: 101 - 250 baht. Signature menu: Stir-fried morning glory with preserved mustard greens. Khao Jao serves southern Thai food with dishes like stir-fried morning glory with Chinese quince, stir-fried stink beans with fresh shrimp, and stir-fried morning glory with eggs. Parking is on the roadside and difficult to find. The restaurant gets busy at lunchtime, and some days require waiting in line. Portions are small, so several dishes are needed to feel full. Almost every dish is sweet, and the rice is hard and served in small portions. Food is served quickly, but the price feels high for the portion size. Additionally, I received an unclean glass today, which was disappointing.",https://squintingeyes.wordpress.com/wp-content/uploads/2010/04/gang_som.jpg?w=640
Khuaindy Homemade & Café - Halal,"472 Soi Phatthanakan 38, Bangkok","Muslim/Halal food, Steak, Thai food","Spaghetti with green curry, Crispy chicken with red curry rice, Baked chicken with indie sauce, Green curry, Seafood yen ta fo noodles, Spaghetti carbonara with chicken ham, Deluxe chicken bacon pizza, Fried chicken with lemon sauce",251-500,4.1,8.00-18.30,"Reviewer 1:
Halal restaurant with a wide variety of menus. Price per person: 251 - 500 baht. Signature dishes: Fried chicken with lemon sauce, Roti with green curry sauce. Krua Indy is not limited to Islamic cuisine but is a Halal restaurant offering a diverse range of dishes. The menu includes savory dishes, desserts, snacks, drinks, Thai food, Western food, one-dish meals, rice dishes, pizza, steak, and burgers. The overall taste is good, but our favorites were the fried chicken with lemon sauce and roti with green chicken curry. The shop has good air conditioning and a small parking lot in front.

Reviewer 2:
Price per person: Less than 100 baht. Mullim Restaurant offers a wide variety of food at affordable prices. The quality is excellent, and the food tastes delicious. The menu includes both Thai and European food, as well as coffee and desserts. It's a great spot to sit, sip coffee, and socialize with friends or enjoy a meal. Ratings: Price: 5/5, Quality: 5/5, Deliciousness: 5/5, Cleanliness: 5/5, Speed: 5/5, Service: 5/5, Place: 5/5, Value for money: 5/5. This restaurant has everything you need.

Reviewer 3:
The restaurant is hidden in Soi Phatthanakan. Price per person: 251 - 500 baht. Signature menu: Spaghetti with green curry. Indie Kitchen Restaurant is located in the middle of Soi Phatthanakan 32 and 38, with parking available for about 4-5 cars. The restaurant features a clean white decor contrasted with dark blue and green plants, creating a chic cafe vibe. It's a great place for friends to take beautiful pictures in a natural atmosphere or for couples to enjoy a meal. The menu is diverse, offering everything from salads and burgers to spaghetti and single-dish meals. The restaurant also serves Islamic food, making it a unique and inclusive spot.

",https://images.deliveryhero.io/image/fd-th/Products/3810375.jpg?width=%s
Khun Chai Restaurant (คุณชาย),"8/4, Soi Phatthanakan 30, Suan Luang, Suan Luang, Bangkok, Bangkok (Phatthanakan 30, beginning of the alley, right side)","Thai food , boxed lunch/boxed rice, delivery, made to order food","Yen ta fo, Stir-fried pork ribs with eggs, Fried rice with chili and salty pork, Dry sukiyaki, Green curry fried rice and grilled chicken, Glass noodle salad, The royal thai army's fried chicken, Basil rice vermicelli with pork, Grilled chicken salad, Fried rice with fermented pork sausage",50-100,3.8,10.30-20.30,"Reviewer 1: 
First time at Khun Chai Restaurant, Phatthanakan 30, Price per person: 101 - 250 baht. My first visit to this restaurant, which offers a variety of dishes. 🚗🛻🚙 Parking: Limited space available. Dishes tried: 🍜 Tom Yum Noodle with Shredded Chicken with Lime (59 baht), the taste is acceptable and pre-seasoned. 🍲 Papaya Salad with Grilled Chicken (set for 110 baht), the grilled chicken has crispy skin and is delicious. 🫕 Yen Ta Fo (55 baht), not delicious. 🍛 Teriyaki Chicken Rice (69 baht), quite delicious. Additional costs: 🧊 Ice (2 baht per glass), 💧 Bottled water (15 baht per bottle).

Reviewer 2: 
Price per person: Less than 100 baht, a made-to-order restaurant offering a wide variety of menus, including Thai, Western, and Japanese food. The prices are affordable and the taste is good. Recommended dishes: 🌿 Minced pork with basil and thick egg is delicious, 🌶️ Drunken noodle stir-fry has just the right level of spiciness. Ratings: 💰 Price: 4/5, ⭐ Quality: 4/5, 😋 Deliciousness: 4/5, 🧽 Cleanliness: 4/5, ⏱️ Speed: 4/5, 🤝 Service: 4/5, 🏠 Place: 4/5, 🎉 Value for money: 4/5.

Reviewer 3: 
A made-to-order restaurant in the Pattanakarn 30 area, located at the beginning of the alley in a shophouse, Price per person: Less than 100 baht. Signature menus: Dry noodles, crispy chicken, Thai papaya salad with crab, mixed vegetable sukiyaki, seafood noodles wrapped in egg. The shop is located less than 300 meters into the alley and has parking available in front. 🏠 The restaurant offers a variety of dishes at reasonable prices with good taste. It’s a great spot for anyone looking for simple, delicious food. P.S.: There is another shop next door called ""Aroi Tid Lom.""",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/33/ed/af/photo0jpg.jpg?w=1100&h=-1&s=1
Kiani,"90, Fifty Fifth Thonglor, Khlong Tan Nuea, Watthana, Bangkok, Bangkok (FiFTY FIFTH THONGLOR 1st Floor)",Korean food,"Side dishes, Pork Bibimbab, Kimchi soup, Korean fried chicken, kongbul, Jajangmyeon, Pork kimchi soup, Hot grilled pork with kongbull. Korean style grilled pork",251-500,4.4,11.00-21.00,"Reviewer 1: 
Authentic Korean restaurant with homey style🏠, Price per person: 251 - 500 baht, Recommended dishes: Side dishes, Korean fried chicken, Bibimbap (Pork) (Best Seller). This Korean restaurant deserves a thumbs up because the taste of the food is like authentic Korean cuisine from the original recipe👍🏻. The shop has a homey vibe, like stopping by for a meal cooked by Omma at a friend's house. The staff and the owner are friendly and provide excellent service, making the place feel very welcoming. The side dishes are refillable for free, and the pajeon, served warm instead of cold, left a great impression. Overall, the taste of the food is delicious and easy to enjoy.

Reviewer 2: 
I swear I've never loved anyone as much as you, Price per person: 251 - 500 baht, Recommended dishes: Pork kimchi soup, side dishes, Korean instant noodles, Korean fried chicken, Korean BBQ pork (Best Seller), Pork bibimbap (Best Seller), Kimchi fried rice. For Korean food lovers who enjoy home-cooked style, this restaurant is the best. If Wongnai User Choice awards still existed, this restaurant would undoubtedly be a contender for a long time. The side dishes are delicious, the service is excellent, and the prices are reasonable. Recommended menus include Bibimbap, Kimchi fried rice, and grilled meat on a hot plate. For a hot meal, try Ramyeon or Tteokbokki, which have rich, flavorful sauces. Everything here is amazing.

Reviewer 3: 
Oppa's Favorite Korean Restaurant, Price per person: 251 - 500 baht, Korean restaurant that wins the hearts of Oppas with warm and attentive customer service. Homemade Korean food with authentic taste. I've eaten at this restaurant many times, and there are many regular customers. During lunchtime, the restaurant is always full. Personally, I enjoy the Bossam, which features stewed pork belly soaked in flavorful sauce, cut into thick slices, and paired with kimchi and side dishes. Served with chili and garlic to enhance the spiciness. The stir-fried pork with sauce is also delicious, accompanied by melted cheese and stir-fried kimchi. Pick up the pork, spread the cheese, and pair it with kimchi—absolutely awesome.",https://paikubpro.com/wp-content/uploads/2023/11/Kiani.1-1024x683.jpg
KITAOHJI GINZA THAILAND ,"212 Sukhumvit 55, Thonglor Soi 8, Khlong Tan Nuea, Watthana, Bangkok ",Japanese,"sashimi, pod dish, fried dish, dessert, wagyu, noodle",1000-2000,4.3,11.30-23.00,"Reviewer 1: 
Price per person: more than 1,000 baht, this premium Japanese restaurant in Thonglor offers seasonal ingredients like taraba crabs with Kaiseki set menus starting from 3,000 baht. Expect to spend around 4,000-5,000 baht per person. The quality of ingredients, especially the crabs, is excellent, and the fish and meat are very fresh. Good service makes it worth the high price.

Reviewer 2: 
Price per person: more than 1,000 baht, I love the Japanese wooden house atmosphere with a garden at this restaurant. The ingredients are of good quality, cooked by Japanese chefs. We visited on Mother's Day and received a complimentary golden peach jelly, which was delicious and refreshing. Although they are famous for Kaiseki set meals, I prefer ordering A la carte for their quality seasonal ingredients.

Reviewer 3: 
Price per person: more than 1,000 baht, missing Japan during Songkran, I came here and was not disappointed. The Ginza atmosphere and high-quality premium food were delightful. I tried Black Wagyu Suki, Hokkaido Crab Shabu, Grilled Red Snapper, and Negi Toro Don. Everything was delicious and met my expectations.",https://www.bkkmenu.com/files/2022/07/Kitaohji-15.jpg
Kosirae,"97/99 Thonglor Road, Bangkok (enter Sukhumvit Soi 55 for about 100 meters, the shop is on the right hand side, brown wall *)",Grilled Korean food buffet,"Pork marinated in sauce, Korean BBQ pork, Fruit salad, Kimchi, Marinated pork, Pork neck, Spinach, Banana apple salad, Pork belly,Meatball salad",251-500,4,11.30-21.00,"Reviewer 1: 
Number one in Korean barbecue, Price per person: 251 - 500 baht, Signature dishes: Beef tongue, fresh shrimp, squid, sweet clams, pork neck marinated in Korean sauce. 🥢 The famous Korean BBQ buffet in the Thonglor area now offers three price options to enjoy a 90-minute feast. Starting with the Ood Sai 399+, you get soy sauce-marinated pork neck, pork belly in intense Korean sauce, sliced pork belly, soft pork neck, and chicken marinated in flavorful Korean sauce. At 459+, seafood lovers can enjoy a variety of options like shrimp, squid, sweet clams, and large, fresh cockles with juicy, bouncy meat. Finish off with the premium set, a feast with all the bells and whistles.

Reviewer 2: 
Popular Korean buffet restaurant with good value UC2024, Price per person: 251 - 500 baht, Signature dishes: Marinated pork, kimchi, Korean barbecue. Perfect for large group dinners, priced at 354฿ net per person. Teenagers especially love this restaurant. The restaurant uses a charcoal stove for grilling, with well-controlled heat. The big shrimp 🍤 and both marinated and unmarinated pork are served continuously. The side dishes have a mild taste and are enjoyable to snack on. Favorites include vegetables wrapped in pork, followed by rice and finishing with red bean bingsu (not included in the buffet price). For groups, splitting costs makes it even better.

Reviewer 3: 
I feel like the standards have dropped,' Price per person: 251 - 500 baht. A famous Korean BBQ restaurant in the Thonglor area, the current prices start at 329+ (345 net) for pork, chicken, and various side dishes. The seafood and beef buffet options are priced at 459+ and 599+, with all menus allowing 90 minutes to dine. Groups of four or more get 120 minutes. The restaurant still serves its classic side dishes like cabbage kimchi, papaya kimchi, pickled radish, Korean pizza, stir-fried vegetables with sesame oil, Korean sausage, boiled eggs, and fruit salad.",https://i0.wp.com/sinehabangkok.com/wp-content/uploads/2021/12/Kosirae-SinehaBangkok-12-scaled.webp?fit=1020%2C765&ssl=1
La Dotta Pasta Bar & Store (Thonglor),"161/6, Soi Thong Lo 9, Khlong Tan Nuea, Bangkok, 10110, Thailand Bangkok",Italian food,"Tortelloni 4 Formaggi, Truffle sage and ricotta deep-fried balls, Wagyu bolognese, Tagliatelle with italian sausage, bomboloni, Truffle pasta, Fresh pasta, Spicy tomato pasta with crispy pork cheeks, Minced lamb with tomato sauce, Sage with ricotta deep-fried balls, Carbonara, Autumn black truffle",251-500,3.9,11.00-22.00,"Reviewer 1: 
La Dotta Pasta Bar Thonglor Soi 9, Price per person: 501 - 1,000 baht, Signature dishes: Truffle, sage & ricotta cheese deep-fried balls, Wagyu Bolognese, lamb mince with tomato sauce, crab meat bruschetta, prosciutto & melon, duck breast reginette, 22-month aged Parma ham and winter melon, carbonara. La Dotta Pasta Bar is a small corner shop in Thonglor Soi 9, decorated in striking blue and visible from afar. Upon entering, you’re greeted by the scent of authentic Italian food, charming and warm. 🤩 The shop has a cozy yet warm style. The receptionists are friendly and provide excellent service. La Dotta has been worthy of receiving Michelin recognition for many years. The pasta shop showcases fresh, handcrafted noodles made daily.

Reviewer 2: 
A pasta restaurant that has received a Michelin Guide every year, Price per person: 251 - 500 baht. LA DOTTA Pasta Bar and Store 😗👍🏻🍝 is a fresh pasta shop, handcrafted from original Italian recipes and made fresh every day. 😘❤️🐔🥚 The highlight of this fresh pasta shop is the noodles. The shop uses natural flour imported from Italy and organic duck eggs to achieve the best taste. There are various types of noodles available, including tagliatelle, tagliolini, tortellini, or rigatoni, which pair well with different sauces. Let the staff recommend the best combinations. The shop’s atmosphere is pleasant and inviting.

Reviewer 3: 
✌️ Famous pasta bar, Price per person: 501 - 1,000 baht, 🇹🇭 La Dotta - La Dotta 🍽 selected by the Michelin Guide for several years, offers exquisite Italian food. 👨🏻‍🍳 Chef Francesco Deiana leads the culinary creations at this bright blue pasta bar in the Thonglor area. This chic spot is a must-visit and has us coming back every year to try its delicious offerings.",https://image.posttoday.com/media/content/2019/06/16/471DCD37A9C546DF9D55E903FC4B530A.jpg?x-image-process=style/lg
La Monita Taqueria (La Monita)  ,"888/25-26 Mahatun Plaza, Phloen Chit Road, Bangkok (in Mahatun Plaza (bts Phloen Chit exit 2))
100 m. from BTS Phloen Chit
700 m. from BTS Chidlom",Mexican Food,"gucamole, churos, monkey wing, tequila cheese and shrimp tacos, AI pasta breakfast, grilled chicken",251-500,4,10.30-21.30,"Reviewer 1: 
La Monita offers authentic Mexican food with prices ranging from 501 - 1,000 baht per person, The restaurant gets busy on weekends, especially during lunch hours on Saturdays, Service is fast, and the food portions and pricing are reasonable, The overall atmosphere is nice, though the staff could be more attentive, as they seemed unsure of which table to serve at times, Still, a good spot for lunch or dinner.

Reviewer 2: 
Delicious food at La Monita with prices between 251 - 500 baht per person, The signature menu item, the chicken quesadilla, is filled generously and comes with three types of dipping sauces, with the chili sauce being particularly spicy, The restaurant is located in the Mahatun Ploenchit project, with parking available and a bright orange building that's easy to spot, The interior is colorful and spacious, and the staff provides excellent service, There are plenty of options for food and drinks, including various Mexican sodas.

Reviewer 3: 
La Monita, near Mahatun Plaza, serves strong and spicy Mexican food, The shop is small and often crowded, Highlights include stir-fried shrimp with sweet peppers served on a hot plate with tortillas, salsa, and guacamole, The nachos with guacamole are crispy and make for a great snack, and the crispy tacos have a unique filling, Authentic and flavorful Mexican cuisine.",https://media.timeout.com/images/105767476/750/422/image.jpg
Lan Nua Zaab in the garden,"811, Phatthanakan Road, Prawet, Prawet, Bangkok, Bangkok ","Northeastern food/Somtam shop, Thai food","Spicy pork rib soup, Fried sea bass with tamarind sauce, Luang prabang salad, Fried sun-dried pork,Tricolor lotus, Grilled pork neck waterfall, Korat fried noodles, Tam chao samut, Sea bass with tamarind sauce, Shrimp fritters, Dried squid eggs, Lotus stem with many ingredients, Papaya salad with fermented fish and crab, Minced beef with basil and fried egg",101-250,4.5,11.00-21.00,"Reviewer 1: 
⭐️⭐️⭐️⭐️⭐️ You have to give it to him, Price per person: 251 - 500 baht, Signature dishes: Tam Chao Samut, Pad Mee Korat, Tom Saep Pork Ribs, Fried Sea Bass with Tamarind Sauce, Fried Sun-Dried Pork, Tam Luang Prabang, Grilled Pork Neck Waterfall, Young Coconut Durian Bua Loi, Bongkot Tri-Color, ""Lan Nua"" in Pattanakarn area, a large Isaan Thai restaurant. Driving past, the front can be called a kingdom. When you get inside the restaurant, there is a spacious parking lot with a ramp for wheelchairs, There is a shady garden, a waterfall, and schools of fish swimming in the stream. We came when it was raining, so we had to sit in the air-conditioned room, The staff provided excellent service, While waiting for the food, the kids went for a walk and greeted the group of fish, When the staff saw them, they quickly brought fish food to the kids. There's nothing more fun than this 😊, In a moment, the food gradually came out.

Reviewer 2: 
Landmark, a classic Isan restaurant on Phatthanakan Road, Delicious food, warm family service, tropical atmosphere, beautiful garden in the middle of the city, FINN Inside takes everyone to check in, eat, travel, and enjoy the atmosphere of an Isan restaurant, a great landmark in the Pattanakarn area, Lannua Zabb in the garden. In addition to answering all needs in terms of Isan food, spicy taste, perfect, the decoration of the shop here emphasizes a tropical garden style, standing out in the Pattanakarn area, It can be called a meeting point, a place to meet and socialize, organize banquets, and an atmosphere of Isan food that is ready to go international. We will convey it as a good review.

Reviewer 3: 
Delicious, clean, very good service, reasonable price, Price per person: 251 - 500 baht, Signature menu: Spicy pork rib soup, I've eaten at this restaurant more than 2 times, The interior is beautifully decorated, shady, and there's enough parking space, The shop sells clean Thai-Isan food at inexpensive prices, The staff provides excellent service, standing by tables in zones, always ready to serve, and meeting demands, Every dish tastes good, The papaya salad with fermented fish and crab was finished by my mother, The corn salad was also good, The spicy pork rib soup was very good, melting in your mouth, barely needing to chew, The fried chicken wings were delicious, The grilled pork neck was firm, with more meat than fat, The shrimp waterfall was also delicious, Anyone who lives nearby.

Reviewer 4: 
Newly opened shop, good atmosphere, open-air section, air-conditioned section, delicious food, a bit expensive but worth it, Price per person: 101 - 250 baht, The restaurant has a good atmosphere, both open-air and air-conditioned, The food tastes good, There are Thai and Isaan menus, single dishes, and a variety of menus, The ingredients used are good, The price may be higher than other restaurants, but the quantity is worth the price, I tried the four-friend mushroom curry, The taste is good and well-rounded, There is mushroom som, but unfortunately some mushrooms have a strong smell (I don't like it. If they could change it, it would be better - personal opinion), Overall, this dish is good, The food comes out quickly even though there are a lot of customers, The staff provides good service.",https://static.amarintv.com/images/upload/editor/source/Program/longpung-guide/guide10/06Lannua/lannuazaab.jpg
Le Normandie (เลอ นอร์มันดี) ,"Soi Charoen Krung 40, Bangkok (5th floor, Mandarin Oriental Hotel, Bangkok)
600 m. from BTS Saphan Taksin
900 m. from BTS Surasak ",France,"course dinner, crape, caviar. pot with great fruit, caviar and oursin, sushi, champange",1000-2000,4.7,12.00-22.00,"Reviewer 1: 
Price per person: more than 1,000 baht, Location: The restaurant is located at the Mandarin Oriental Hotel, The atmosphere is fantastic, and the service is top-notch, I tried the lunch set and was very impressed, Next time, I plan to try the 7-course set, Every dish I had was delicious, and considering the quality of the atmosphere, food, and service, the price felt reasonable, Highly recommend visiting.

Reviewer 2: 
Price per person: more than 1,000 baht, Le Normandie by Alain Roux has introduced a new menu, and it's fantastic, The Blue Lobster Signature is still there and tastes even better, I tried unique dishes like frog and rabbit for the first time and loved both, The service remains excellent, and the river view at lunchtime is beautiful, MO members get an extra dish, which is a nice touch.

Reviewer 3: 
Price per person: more than 1,000 baht, This 2 Michelin stars restaurant at the Mandarin Oriental Hotel is perfect for a date, The food is delicious and the course menu is very filling, It's a luxurious dining experience by the riverside that’s worth trying at least once.",https://image.bangkokbiznews.com/uploads/images/md/2022/01/c9J2eYFm7jhL9RofBBvZ.webp
